Data Entrada;Data Saída;Ativo;Direção;Volume;Timeframe;Estratégia;Preço Entrada;Preço Saída;Motivo Saída;PnL Bruto;Taxas;Swap;PnL Líquido;Day Trade
2026-06-09 13:59:17;2026-06-09 14:15:42;WINQ26;SELL;1.0;M15;VWAP;172945.0;173200.0;SL_SERVIDOR;-51,00;1,20;0,00;-52,20;Sim
2026-06-09 14:15:39;2026-06-09 14:16:19;WINQ26;BUY;1.0;M5;VWAP;173200.0;173220.0;SL_SERVIDOR;4,00;1,20;0,00;2,80;Sim
2026-06-09 14:16:23;2026-06-09 14:20:33;WINQ26;SELL;1.0;M15;VWAP;173245.0;173505.0;SL_SERVIDOR;-52,00;1,20;0,00;-53,20;Sim
2026-06-09 14:20:30;2026-06-09 14:21:10;WINQ26;BUY;1.0;M5;VWAP;173515.0;173445.0;SL_SERVIDOR;-14,00;1,20;0,00;-15,20;Sim
2026-06-09 14:25:19;2026-06-09 14:31:14;WINQ26;BUY;1.0;M5;VWAP;173605.0;173510.0;SL_SERVIDOR;-19,00;1,20;0,00;-20,20;Sim
2026-06-09 14:30:37;2026-06-09 14:31:18;WINQ26;SELL;1.0;M15;VWAP;173535.0;173535.0;SL_SERVIDOR;0,00;1,20;0,00;-1,20;Sim
2026-06-09 14:31:54;2026-06-09 14:46:05;WINQ26;BUY;1.0;M5;VWAP;173570.0;173535.0;SL_SERVIDOR;-7,00;1,20;0,00;-8,20;Sim
2026-06-09 14:45:28;2026-06-09 14:46:09;WINQ26;SELL;1.0;M15;VWAP;173605.0;173535.0;SL_SERVIDOR;14,00;1,20;0,00;12,80;Sim
2026-06-09 15:08:57;2026-06-09 15:09:37;WINQ26;BUY;1.0;M5;VWAP;173555.0;173485.0;SL_SERVIDOR;-14,00;1,20;0,00;-15,20;Sim
2026-06-09 15:10:14;2026-06-09 18:49:42;WINQ26;BUY;1.0;M5;VWAP;173530.0;173475.0;EOD_16:45;-11,00;1,20;0,00;-12,20;Sim
2026-06-10 10:11:07;2026-06-10 10:15:48;WDOQ26;SELL;1.0;M5;VWAP;5242.5;5245.0;SL_SERVIDOR;-25,00;1,20;0,00;-26,20;Sim
2026-06-10 12:15:50;2026-06-10 12:51:50;WDOQ26;BUY;1.0;M5;VWAP;5249.5;5251.0;EOD_16:45;15,00;1,20;0,00;13,80;Sim
2026-06-10 13:06:21;2026-06-10 13:06:57;WDOQ26;SELL;1.0;M5;VWAP;5241.0;5240.0;EOD_16:45;10,00;1,20;0,00;8,80;Sim
2026-06-10 13:07:34;2026-06-10 16:57:02;WDOQ26;SELL;1.0;M5;VWAP;5240.5;5235.5;EOD_16:45;50,00;1,20;0,00;48,80;Sim
2026-06-11 09:21:23;2026-06-11 09:51:16;WDON26;SELL;1.0;M5;VWAP;5190.5;5193.0;EOD_16:45;-25,00;1,20;0,00;-26,20;Sim
2026-06-11 09:42:45;2026-06-11 09:51:17;WDOQ26;SELL;1.0;M5;VWAP;5230.0;5232.5;EOD_16:45;-25,00;1,20;0,00;-26,20;Sim
2026-06-11 09:58:12;2026-06-11 10:08:26;WDOQ26;SELL;1.0;M5;VWAP;5229.5;5226.0;EOD_16:45;35,00;1,20;0,00;33,80;Sim
2026-06-11 10:30:02;2026-06-11 16:45:28;WDON26;BUY;1.0;M5;VWAP;5180.5;5124.0;EOD_16:45;-565,00;1,20;0,00;-566,20;Sim
2026-06-12 10:20:22;2026-06-12 10:47:03;WINM26;BUY;1.0;M5;BOLLINGER;171855.0;171355.0;SL_SERVIDOR;-100,00;1,20;0,00;-101,20;Sim
2026-06-12 10:25:36;2026-06-12 10:47:21;INDM26;BUY;1.0;M5;BOLLINGER;172120.0;171405.0;SL_SERVIDOR;-715,00;1,20;0,00;-716,20;Sim
2026-06-12 11:45:41;2026-06-12 11:46:41;BITM26;SELL;1.0;M15;VWAP;324560.0;324800.0;SL_SERVIDOR;-240,00;1,20;0,00;-241,20;Sim
2026-06-12 11:51:31;2026-06-12 12:00:17;BITM26;SELL;1.0;M15;VWAP;325220.0;326900.0;SL_SERVIDOR;-1680,00;1,20;0,00;-1681,20;Sim
2026-06-12 12:20:41;2026-06-12 12:40:06;WSPM26;SELL;1.0;M30;MACD_MOMENTUM;7451.0;7437.0;SL_SERVIDOR;14,00;1,20;0,00;12,80;Sim
2026-06-12 15:45:30;2026-06-12 15:46:17;BITM26;BUY;1.0;M5;VWAP;325100.0;325000.0;SL_SERVIDOR;-100,00;1,20;0,00;-101,20;Sim
2026-06-12 15:51:13;2026-06-12 15:52:00;BITM26;BUY;1.0;M5;VWAP;324700.0;324780.0;SL_SERVIDOR;80,00;1,20;0,00;78,80;Sim
2026-06-12 15:56:48;2026-06-12 15:57:35;BITM26;BUY;1.0;M5;VWAP;324700.0;324520.0;SL_SERVIDOR;-180,00;1,20;0,00;-181,20;Sim
2026-06-12 15:16:16;2026-06-12 16:26:03;INDM26;BUY;1.0;M15;BOLLINGER;171280.0;171445.0;SL_SERVIDOR;165,00;1,20;0,00;163,80;Sim
2026-06-12 16:26:00;2026-06-12 16:26:50;INDM26;SELL;1.0;M5;BOLLINGER;171410.0;171500.0;SL_SERVIDOR;-90,00;1,20;0,00;-91,20;Sim
2026-06-12 12:04:22;2026-06-12 16:45:20;DOLN26;SELL;1.0;M5;EMA_PULLBACK;5097.5;5085.5;EOD_16:45;12,00;1,20;0,00;10,80;Sim
2026-06-12 15:00:53;2026-06-12 16:45:21;BITM26;BUY;1.0;H1;VWAP;325020.0;324120.0;EOD_16:45;-900,00;1,20;0,00;-901,20;Sim
2026-06-12 15:15:33;2026-06-12 16:45:22;WINM26;BUY;1.0;M15;BOLLINGER;171255.0;171145.0;EOD_16:45;-22,00;1,20;0,00;-23,20;Sim
